"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @cbouzy: Mr. president*, you said you took quick action by banning flights from China, and Coronavirus infections would be much higher i…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051644150624257",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","waldograce",18,TRUE,FALSE,NA,NA
"2","RT @adamhousley: Italy and France are now prescribing hydroxychloroquine and chloroquine as treatments for coronavirus patients | Tech News…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051644104540161",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Italguyli",1590,TRUE,FALSE,NA,NA
"3","RT @ShirazMaher: I've been debating about whether to 'go public' on having coronavirus - which I kind of did inadvertently this morning. So…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643831812100",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annie_nettles",31024,TRUE,FALSE,NA,NA
"4","All day of #selfisolating on the couch binging Disney+ to go out for a run.
#stayathome #coronavirus https://t.co/s2tXWn41uy",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643802542085",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdorkableMel",0,FALSE,FALSE,NA,NA
"5","RT @jsolomonReports: Trump coronavirus briefings are a ratings smash ... that some in media don’t want.  https://t.co/Bapq6ax6zU",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643735433222",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","NancyCurtner",2843,TRUE,FALSE,NA,NA
"6","RT @Cheyom1: BBC News - Coronavirus: Mexicans demand crackdown on Americans crossing the border https://t.co/SZLrQEUTOb",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643701669889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","huham56",4,TRUE,FALSE,NA,NA
"7","RT @JFortin670: US orders a 60-day #freeze on overseas #troop movements due to #coronavirus #pandemic

#dod #military #usaf #usn #ussf #usa…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643672473600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fringe_Files",1,TRUE,FALSE,NA,NA
"8","See here <U+0001F447><U+0001F3FE>specialist nurses from Cuba arrive in St Kitts and Nevis to assist in efforts to eradicate #coronavirus… https://t.co/mAIChjdjFZ",FALSE,170,"ClaudiaWebbe",2020-03-28 23:59:59,TRUE,"1243929124483338246","1244051643605430277","50997451","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClaudiaWebbe",81,FALSE,FALSE,NA,NA
"9","Saturday, March 28: Riverside County health officials confirm 10 new cases, bringing the total to 195. https://t.co/V4WpwLBKDZ",FALSE,4,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643378946050",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","MyDesert",2,FALSE,FALSE,NA,NA
"10","RT @sfchronicle: Former Stockton Ports manager Webster Garrison, a longtime coach in the A’s minor-league system, is on a ventilator in Lou…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643303256065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bRadOli15685145",28,TRUE,FALSE,NA,NA
"11","RT @imajsaclaimant: Very sad to read this... First working NHS surgeon dies from #coronavirus https://t.co/8Kr4M7KzL5

Adil El Tayar, 63, d…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643244720134",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheBirmingham6",300,TRUE,FALSE,NA,NA
"12","okay why are people in ligonier having parties tonight not to be rude or rain on your party but dID YALL NOT READ A… https://t.co/opSOsXPluY",FALSE,1,NA,2020-03-28 23:59:59,TRUE,NA,"1244051643240525824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sorryimandra",0,FALSE,FALSE,NA,NA
"13","RT @CBSThisMorning: Japan is now turning to containment measures after witnessing a surge of new infections. There are now more than 2,000…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051643185971200",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","XbkrCALZ1MgbaRd",187,TRUE,FALSE,NA,NA
"14","Coronavirus live updates: U.S. deaths double in two days, hitting 2,000; Trump says New York area might be quaranti… https://t.co/MUFqLv80O0",FALSE,0,NA,2020-03-28 23:59:59,TRUE,NA,"1244051643085262848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ev3ponies",0,FALSE,FALSE,NA,NA
"15","RT @jaketapper: CNN: More than 2,000 people have died from the coronavirus in the US as of 7:45 p.m. EST Saturday, according to a CNN count…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642988859392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FredEwans",2275,TRUE,FALSE,NA,NA
"16","So what does the $2 trillion-plus federal stimulus bill mean for nonprofits? @NatlCouncilNPs #COVID19 #coronavirus https://t.co/0cEp6eqYqC",FALSE,7,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642959396864",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","npquarterly",5,FALSE,FALSE,NA,NA
"17","RT @karelis_m2: STAY TF HOME!!!  https://t.co/dgjFFoVdEX",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642921750528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haaawss",6,TRUE,FALSE,NA,NA
"18","Coronavirus update in the Schaben household: my wife and kids have been planning a birthday party for the dog while… https://t.co/dGa4LMFmXw",FALSE,16,NA,2020-03-28 23:59:59,TRUE,NA,"1244051642917453834",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JakeSchaben",0,FALSE,FALSE,NA,NA
"19","RT @DrDenaGrayson: <U+0001F6A8>BREAKING: Confirmed US #coronavirus deaths DOUBLE in just 2 days to 2,000. It took ~1 month from the 1st confirmed deat…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642791714818",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CFan216",890,TRUE,FALSE,NA,NA
"20","RT @JoeBiden: Losing a loved one is incredibly difficult, but it’s even harder when you’re not able to be with them in their final moments…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642695237632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamiyaKMatlock",4814,TRUE,FALSE,NA,NA
"21","RT @AFP: VIDEO:  A special light show at the Eiffel Tower pays tribute to France's healthcare workers, who are on the front line of the cor…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642649120768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nofiltersgooner",441,TRUE,FALSE,NA,NA
"22","RT @CREWcrew: Don't let this get lost: there's a big giveaway for Trump and other real estate moguls in the stimulus package
https://t.co/d…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642636476425",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AceBearstrom",267,TRUE,FALSE,NA,NA
"23","It’s about that time of the day that I start softly singing @britneyspears - BABY ONE MORE TIME - “my loneliness is… https://t.co/GZ3YGZgoZv",FALSE,0,NA,2020-03-28 23:59:59,TRUE,NA,"1244051642569252866",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrPartyyyHardy",0,FALSE,FALSE,NA,NA
"24","RT @essenviews: As coronavirus ravages his native New York, media mogul David Geffen observes a sunset from his $400 million superyacht: ""I…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642527465472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amazedbyu69",33,TRUE,FALSE,NA,NA
"25","RT @katrina_wiser: In an effort to slam Trump, CNN admits

“at least 10 government reports from 2003 to 2015, federal officials predicted t…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642493747200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SKJ39HD",884,TRUE,FALSE,NA,NA
"26","RT @jaketapper: CNN: More than 2,000 people have died from the coronavirus in the US as of 7:45 p.m. EST Saturday, according to a CNN count…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642288418817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YosefaGitel",2275,TRUE,FALSE,NA,NA
"27","RT @timesofindia: Tatas pledge Rs 1,500 crore to help fight coronavirus https://t.co/YTuBKIH9Gb",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642204295168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anielsrivastav",413,TRUE,FALSE,NA,NA
"28","RT @ShirazMaher: I've been debating about whether to 'go public' on having coronavirus - which I kind of did inadvertently this morning. So…",FALSE,0,NA,2020-03-28 23:59:59,FALSE,NA,"1244051642191884288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ROGSAHL",31024,TRUE,FALSE,NA,NA
"29","Smoked Salmon,Carrots,Corn bread,Rice n beans,Salad,Water.Shit slammin!#coronavirus everybody cook your own food av… https://t.co/Iwd8odjiXG",FALSE,0,NA,2020-03-28 23:59:59,TRUE,NA,"1244051642179358724",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","1lifesha2live",0,FALSE,FALSE,NA,NA
