"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JoeBiden: Everyone knows that we're facing a real crisis from the coronavirus. But do you know how we got here and what we need to do n…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514929078833154",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","504bayou",40479,TRUE,FALSE,NA,NA
"2","RT @TalkDigitalNet: The Goddard Report with host @jimgoddard3 

#CoronaVirus, #ToxicDrugs, and #FakeNews
How to turn a non-pandemic into a…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514929053511680",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","howestreet",25,TRUE,FALSE,NA,NA
"3","RT @yashar: The Justice Department has quietly asked Congress for the ability to ask chief judges to detain people indefinitely without tri…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928936271873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RyanKochWeAre1",2384,TRUE,FALSE,NA,NA
"4","RT @santo_aol: Robert Reich says airlines ‘shouldn’t see a dime of taxpayer money’ in a coronavirus bailout https://t.co/UleEi2IR5l",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928827256833",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cmadmax",5,TRUE,FALSE,NA,NA
"5","RT @GCobber99: Coronavirus is spreading fear. Morrison could solve this with the stroke of a pen. People trust  Bowtell and Swan they are t…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928818683904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","knarfnamduh",46,TRUE,FALSE,NA,NA
"6","RT @TheDailyShow: Trump finds a way to sprinkle some racism on the coronavirus pandemic.

Full episode: https://t.co/RZR0J200mv https://t.c…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928814555138",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brixtonrose1",453,TRUE,FALSE,NA,NA
"7","RT @addicted2newz: The Police in London are trying to brighten the mood.

The are going up and down the Thames in a police boat playing ""Al…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928781099008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarxAsher",4501,TRUE,FALSE,NA,NA
"8","RT @GAYSHAWNMENDES: RT to spread awareness for the Coronavirus :) https://t.co/HNLx7fPhC0",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928751751171",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raydenbeaulieu6",1364,TRUE,FALSE,NA,NA
"9",".@thekrissychula My sister @MyOutlanderPurg  and I need you to make a ""Coronavirus / quarantine yourself"" video tha… https://t.co/iAc8nTTbLn",FALSE,7,NA,2020-03-21 23:59:59,TRUE,NA,"1241514928693022721",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PurgatoryCarol",0,FALSE,FALSE,NA,NA
"10","RT @esglaude: DOJ Wants to Suspend Certain Constitutional Rights During Coronavirus Emergency https://t.co/XC7NU86iH2 via @RollingStone",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928676245506",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KateBlake5",377,TRUE,FALSE,NA,NA
"11","RT @jappoffjones: Coronavirus Florida: Lake Worth Beach city commission meeting turns ugly https://t.co/bEzaULPOy3",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928525250570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tanyajgarcia",67190,TRUE,FALSE,NA,NA
"12","RT @ChristinePolon1: I bet he is. 
Bill Gates' charity funding at-home coronavirus test kit for Seattle https://t.co/67FX8fHd9r via @MailOn…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928516677632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rgreer694",90,TRUE,FALSE,NA,NA
"13","RT @JoyceWhiteVance: I know you've seen the advice cautioning you to pay attention to what AG Barr does to further damage the rule of law w…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928479100929",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Kate_in_MN",9947,TRUE,FALSE,NA,NA
"14","RT @jxeker: hate that “shortness of breath” is a coronavirus symptom, every time i get to the top of the stairs i think i’ve got it then i…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928412004357",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsonlymejuliec",41973,TRUE,FALSE,NA,NA
"15","RT @SocialistWitch: Coronavirus is not mother nature's 'cure' for 'evil humans'. 

The Earth doesn't suffer from humanity. It suffers from…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928411820033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","russyb_",63942,TRUE,FALSE,NA,NA
"16","RT @10TV: The U.S. Food and Drug Administration has approved the first rapid coronavirus test, which can produce results in about 45 minute…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928353284097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LovGloria",69,TRUE,FALSE,NA,NA
"17","RT @stayfrea_: News don’t even tell us the weather nomore they be like good morning CORONAVIRUS",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928328060928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nicoconroy",105746,TRUE,FALSE,NA,NA
"18","RT @spectatorindex: Coronavirus deaths, globally.

January 22nd: 17

February, 21st: 2,360

March 21st: 12,962",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928256753665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AaronConteh1",3420,TRUE,FALSE,NA,NA
"19","RT @EvanAKilgore: The way the #FakeNews handles President Trump's Press Conferences on the Coronavirus are so disgusting.

Every single que…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928198074369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Patriot01224735",228,TRUE,FALSE,NA,NA
"20","RT @NorbertElekes: Coronavirus update, Europe:

- Turkey: 277 new cases
- Portugal: 260 new cases
- Norway: 164 new cases
- Czechia: 162 ne…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928026107905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NestleCrunch",252,TRUE,FALSE,NA,NA
"21","Excellent news! First point-of-care tests for #COVID19 approved by the FDA. Results available in 45 mins. 
https://t.co/zYuQ3klPEC",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514928013541377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","susanbordson",0,FALSE,FALSE,NA,NA
"22","If you’re interested in learning about what coronavirus is and what it does once in the human body, I HIGHLY sugges… https://t.co/s2aQaC2Tge",FALSE,11,NA,2020-03-21 23:59:59,TRUE,NA,"1241514927900278787",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MrPopCharts",1,FALSE,FALSE,NA,NA
"23","The Coronavirus isn’t gonna stop us from shredding the gnar https://t.co/5g8TKpF0lq",FALSE,2,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927874920448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","platygonzalez",0,FALSE,FALSE,NA,NA
"24","RT @indianz: This just in: Navajo Nation issues “Stay at Home Order” for all residents of the Navajo Nation to fight the spread of COVID-19…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927707303940",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BBroderickNews",78,TRUE,FALSE,NA,NA
"25","RT @Rachel_Chason: A mother of three went from making $400 a night to $80 a night to nothing as the pandemic grew — and now she’s not sure…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927677939718",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nplyact",15,TRUE,FALSE,NA,NA
"26","RT @ScottGottliebMD: This was one of the early reports, from January 1st, published in major media on the spark that lit the global #corona…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927652732930",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sortidoavulso",379,TRUE,FALSE,NA,NA
"27","RT @BettySwernofsky: HuffPo Reporter: The Democrats' Response to the Wuhan Coronavirus Outbreak Has Been Disastrous  https://t.co/M6BzibEnbo",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927648538626",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MommaSaidWhaaat",20,TRUE,FALSE,NA,NA
"28","RT @joncoopertweets: Donald Trump’s inept response to the coronavirus pandemic in the United States is directly responsible for the mountin…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927527022595",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","greenbkg",3878,TRUE,FALSE,NA,NA
"29","RT @JoeBiden: Everyone knows that we're facing a real crisis from the coronavirus. But do you know how we got here and what we need to do n…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927409463299",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MicheleHFrost",40479,TRUE,FALSE,NA,NA
"30","RT @Do_Or_Do_Notty: McRaven recalled that “one voice began to echo through the night"" - one of the candidates began singing, albeit ""terrib…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927359250432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Idontbelieveinh",70,TRUE,FALSE,NA,NA
"31","RT @WeAreNotNumbers: The Ministry of Health in #Gaza has just revealed that the first two #coronavirus cases were reported here for two men…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927258505216",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","santafeez",24,TRUE,FALSE,NA,NA
"32","RT @TIME: China sends masks, gloves and test kits to nations affected by COVID-19 https://t.co/4jY6vLSEde",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927191281665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","buzzinginmyhead",396,TRUE,FALSE,NA,NA
"33","RT @Scavino45: A MESSAGE FROM @StateDept @SecPompeo. #COVID19 

<U+0001F310>https://t.co/s6BGagG63J
<U+0001F310>https://t.co/EBuzMFrvIC
<U+0001F310>https://t.co/sWQ2wQNxtC…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927161917441",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CompanyKwo",4612,TRUE,FALSE,NA,NA
"34","#COVID19
HYDROXYCHLOROQUINE &amp; AZITHROMYCIN, taken together, have a real chance to be one of the biggest game change… https://t.co/vjOXb9yZ8m",FALSE,0,NA,2020-03-21 23:59:59,TRUE,NA,"1241514927124140033",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yxlearn",0,FALSE,FALSE,NA,NA
"35","RT @nytimes: See more about the estimates and the researchers' warnings — and how the rate of coronavirus infections could vary by state de…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514927061372928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","caichee",379,TRUE,FALSE,NA,NA
"36","RT @nowthisnews: ‘Without taking drastic measures, the healthy and optimistic among us will doom the vulnerable’ — Literally everyone shoul…",FALSE,0,NA,2020-03-21 23:59:59,FALSE,NA,"1241514926977380353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","honour_del",1230,TRUE,FALSE,NA,NA
"37","A MUST SEE! WITH THE CORONAVIRUS YOU MUST LEARN TO BOOST YOUR IMMUNE SYSTEM THIS IS YOUR LAST HOPE. HEALTH IS WEALT… https://t.co/dHQamhINOi",FALSE,12,NA,2020-03-21 23:59:59,TRUE,NA,"1241514926931312641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","InfiniteWaters",4,FALSE,FALSE,NA,NA
