"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @RepTomColeman: Is it an impeachable offense when a President grossly fails to protect 330 million Americans from a pandemic by doing no…",FALSE,0,NA,2020-03-26 20:29:50,FALSE,NA,"1243273978677993473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Debbie56111656",25,TRUE,FALSE,NA,NA
"2","@doncosimano @BalorClubGuy Postponed to when...? When is coronavirus not going to be a problem?",FALSE,0,"doncosimano",2020-03-26 20:29:50,FALSE,"1243273473969000453","1243273978602500096","2768318739","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","martinlmnt",0,FALSE,FALSE,NA,NA
"3","RT @gtconway3d: .@carriecordero and I argue that the intelligence reports made available to @realDonaldTrump and members of Congress about…",FALSE,0,NA,2020-03-26 20:29:50,FALSE,NA,"1243273978589954048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bonnie_london",6259,TRUE,FALSE,NA,NA
"4","RT @theappeal: BREAKING: 322 NYPD officers have tested COVID-19, with many tests still outstanding. The number of officers out sick was thr…",FALSE,0,NA,2020-03-26 20:29:50,FALSE,NA,"1243273978472431622",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wannie777",23,TRUE,FALSE,NA,NA
"5","RT @nerdist: Coronavirus cancellations are bringing out the creativity in kids like these. https://t.co/mrlkRd03CL",FALSE,0,NA,2020-03-26 20:29:49,FALSE,NA,"1243273978287763456",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lilianakennedyp",1,TRUE,FALSE,NA,NA
"6","RT @rtenews: More than 80 Irish doctors are returning home from Australia to join Ireland's fight against Covid-19 | Read more: https://t.c…",FALSE,0,NA,2020-03-26 20:29:49,FALSE,NA,"1243273978141081605",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","25Ger",124,TRUE,FALSE,NA,NA
"7","RT @pewresearch: 81% of Democrats say that to address the coronavirus outbreak, it has been necessary to require most businesses to close.…",FALSE,0,NA,2020-03-26 20:29:49,FALSE,NA,"1243273978019483656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnIllicitWriter",20,TRUE,FALSE,NA,NA
"8","RT @kchinelly: @RonaldKlain @joelockhart He just brought in 2 huge ships in Lieu of hospitals. But don’t give him credit for that. Why don’…",FALSE,0,NA,2020-03-26 20:29:49,FALSE,NA,"1243273977956466689",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SDNorthShore",34,TRUE,FALSE,NA,NA
"9","RT @cjcFlint: Another vivid representation of Cadet Bone Spur's failings on Coronavirus ... https://t.co/hfl7CDhMBw",FALSE,0,NA,2020-03-26 20:29:49,FALSE,NA,"1243273977717547008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cjcFlint",107,TRUE,FALSE,NA,NA
"10","RT @TrumpWarRoom: <U+26A0><U+FE0F> THREAD: President @realDonaldTrump took decisive action from the beginning to protect Americans from the Chinese coron…",FALSE,0,NA,2020-03-26 20:29:49,FALSE,NA,"1243273977709105170",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jerri_wolf",14383,TRUE,FALSE,NA,NA
