"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @markniesse: Georgia's entire Republican congressional delegation on Tuesday pressured Secretary of State Brad Raffensperger to delay th…",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807797710849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heartfulmom",23,TRUE,FALSE,NA,NA
"2","RT @alisajoy331: So I got my test result back I have contracted the Coronavirus How I will never know So I’m self isolating I’m not sick en…",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807717945344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","polancodecouet",3213,TRUE,FALSE,NA,NA
"3","RT @sydbrownstone: “Why am I having to choose between staying healthy and having a place to go stay?” As rent comes due, some say eviction…",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807663374336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yung_Farris",26,TRUE,FALSE,NA,NA
"4","RT @LanceChurchill: I believe that the @CDCgov is specifically looking for  evidence that vaping is a higher risk factor for COVID19.
Is @C…",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807650947072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loraknowsbest",28,TRUE,FALSE,NA,NA
"5","RT @RealMattCouch: So we’re arresting preachers for preaching, but letting 1,000s of inmates out of jail for the CoronaVirus... 

God Forgi…",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807634251777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrkdonnelly",2458,TRUE,FALSE,NA,NA
"6","“the past few weeks have exposed the fact that the biggest things can always change, at any minute. This simple tru… https://t.co/otsqhZkS30",FALSE,4,NA,2020-03-31 23:59:59,TRUE,NA,"1245138807613087744",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","croche123",0,FALSE,FALSE,NA,NA
"7","RT @syrbasketball: Eric Devendorf creates instructional videos for kids stuck at home amid coronavirus pandemic https://t.co/GZoMrRXvuL",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807567106048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexites",9,TRUE,FALSE,NA,NA
"8","RT @realDonaldTrump: 30 DAYS TO SLOW THE SPREAD
#COVID<U+30FC>19 https://t.co/p9j7kZsD7b https://t.co/RSUHRfT8If",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807311212547",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UKExpat4MAGA",20162,TRUE,FALSE,NA,NA
"9","RT @AskAnshul: Coronavirus in Punjab:

- Till now, 41 cases &amp; 4 deaths

- 1330 NRIs untraceable.

- 36 medical professionals, including doc…",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807294328832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Samrats83696274",6770,TRUE,FALSE,NA,NA
"10","RT @henryrodgersdc: McConnell about coronavirus: ""It came up while we were tied down in the impeachment trial. And I think it diverted the…",FALSE,0,NA,2020-03-31 23:59:59,FALSE,NA,"1245138807273357312",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rickmcsmith",3390,TRUE,FALSE,NA,NA
