"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @kyledcheney: JUST IN: Trump signing statement on coronavirus bill says he’ll override a provision requiring the newly created inspector…",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689256314376193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmyRoseData",7006,TRUE,FALSE,NA,NA
"2","RT @BleacherReport: Doris Burke reveals that she has tested positive for the coronavirus, per @wojespn https://t.co/VKUcXgz7lb",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689256293412873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hunt1323",9389,TRUE,FALSE,NA,NA
"3","RT @MarcACaputo: The Villages, Florida's huge Republican-rich retirement community, is experiencing community spread of coronavirus more th…",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689256125632529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eric_piekarski",2832,TRUE,FALSE,NA,NA
"4","RT @LANow: 25-year-old's coronavirus death in Riverside County a reminder that all are at risk https://t.co/P1whuFmkB2",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689255991259136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NathanAquinoo",47,TRUE,FALSE,NA,NA
"5","RT @YouLoveAshh: Lil Baby was on live coughing talking bout “CORONAVIRUS” and somebody gon say “He need to go to the vet” <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F602><U+0001F602><U+0001F602><U+0001F602>",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689255987183616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_slimmyyyy",18880,TRUE,FALSE,NA,NA
"6","Join the U.S. Chamber Foundation on Monday, March 30, for an online briefing on how 501(c)3 nonprofit organizations… https://t.co/Ti7UAs6TpO",FALSE,1,NA,2020-03-27 23:59:59,TRUE,NA,"1243689255915982852",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","OneOC",1,FALSE,FALSE,NA,NA
"7","RT @WebMD: When it comes to spotting symptoms, do you know how to tell the new coronavirus (also known as COVID-19) from seasonal allergies…",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689255802507264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unogoth",12461,TRUE,FALSE,NA,NA
"8","RT @jburnmurdoch: NEW: Friday 27 March update of coronavirus mortality trajectories

• UK has more dead at this stage than any country exce…",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689255781593088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nicolelynn247",5421,TRUE,FALSE,NA,NA
"9","RT @SethAbramson: BREAKING: Trump Says That Due to the Democratic Governors of Washington (3,369 Coronavirus Cases) and Michigan (3,657 Cas…",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689255756496897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DatNolaSam",8031,TRUE,FALSE,NA,NA
"10","RT @HouseBudgetDems: BREAKING: The House has passed the historic #CaresAct.

Read Chairman @RepJohnYarmuth’s statement on the passage of th…",FALSE,0,NA,2020-03-27 23:59:59,FALSE,NA,"1243689255647563779",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TyberZannxxxx",3,TRUE,FALSE,NA,NA
