"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @DearAuntCrabby: The White House Throws A Tantrum After CNN And MSNBC Cut Off Trump's Coronavirus Briefing

So, @realdonaldtrump believe…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474701076733952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HydroMerano",3009,TRUE,FALSE,NA,NA
"2","RT @StandardKenya: A German army shipment of six million face masks needed to protect against the novel coronavirus has vanished in Kenya
#…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700896436228",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denmello",340,TRUE,FALSE,NA,NA
"3","RT @blakesmustache: Thread: Let’s count the ways Trump has made the coronavirus worse:

1. In 2018, Trump disbanded Obama’s NSC global pand…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700799987712",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RTeachquijote",1427,TRUE,FALSE,NA,NA
"4","RT @utvghana: #COVID2019: Ghana now has 52 confirmed Coronavirus cases - Health Minister #UTVNews https://t.co/2SlmkPCw1b",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700673921027",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PharrellTdk",15,TRUE,FALSE,NA,NA
"5","RT @tv9gujarati: There is a lockdown for a reason. Please don’t be selfish and venture out, you’re putting others lives at risk : Actor @ak…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700611006465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbhiChhaiya",94,TRUE,FALSE,NA,NA
"6","RT @Graenni: Choose wisely America.

One side offers you hope, solutions, real action, while the other is falling apart. 

#coronavirus htt…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700598587392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eaglemom21",49,TRUE,FALSE,NA,NA
"7","RT @BetoORourke: This kind of numbnuttery will kill people in Texas. Young as well as old. We need a state-wide shelter in place order to s…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700586000387",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maryinwilmnc",7082,TRUE,FALSE,NA,NA
"8","RT @CUNA: CUNA and other financial trade organizations wrote to Congressional leaders about credit reporting concerns during the #coronavir…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700539940864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AmericanShare",3,TRUE,FALSE,NA,NA
"9","RT @SAfridiOfficial: Day 3 of serving the needy: packs containing disinfectant soap, material, food &amp; a sheet on preventative measures to t…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700510572544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mirbalajcharan",1209,TRUE,FALSE,NA,NA
"10","RT @AAPInNews: .@AamAadmiParty govt led by @ArvindKejriwal  acted swiftly, but the battle is far from over. Delhi moved quickly to put in p…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700464250880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShwetaAgarval",39,TRUE,FALSE,NA,NA
"11","RT @TwitchyTeam: ‘OMFG, Nancy … WHYYYY?!’ Hilariously INFURIATING thread breaks down Nancy Pelosi’s coronavirus bill bit-by-pork-filled bit…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700384722944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SeldenGADawgs",46,TRUE,FALSE,NA,NA
"12","RT @repkevinhern: Proud to join @RepJimBanks @sethmoulton &amp; a bipartisan coalition in the House as a cosponsor of this resolution condemnin…",FALSE,0,NA,2020-03-24 15:33:47,FALSE,NA,"1242474700371931136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iv_arkura",147,TRUE,FALSE,NA,NA
