"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ninaturner: Our Senator @BernieSanders handling the main things and placing the right level of emotion where it belongs! He is fighting…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765545021443",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","shailjapatel",2087,TRUE,FALSE,NA,NA
"2","RT @NevadaElJefe: This Should Go Well: Philadelphia Police to Stop Arresting Criminals Over Coronavirus Concerns

WTF! Not sure about this?…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765461114880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LutierMT",295,TRUE,FALSE,NA,NA
"3","RT @HillaryClinton: The president is turning to racist rhetoric to distract from his failures to take the coronavirus seriously early on, m…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765444366336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","awsomeman9000",44755,TRUE,FALSE,NA,NA
"4","RT @eleanor_mueller: The Senate rejected 47-51 @PattyMurray's amendment to the House-passed coronavirus package, H.R. 6201

It would have a…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765398208512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wangjexi",957,TRUE,FALSE,NA,NA
"5","RT @ajplus: This woman celebrated her 100th birthday from behind a window amid coronavirus concerns.

Her family gathered outside on the op…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765347700736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kangveIvet",369,TRUE,FALSE,NA,NA
"6","RT @ProfPCDoherty: Singapore learned the hard way with SARS back in 2002, and now they're doing a great job. Why Singapore's coronavirus re…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765276372992",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","NanaJMcK",145,TRUE,FALSE,NA,NA
"7","RT @AmeliaHouchins: Trump turned down WHO test kits for corona because the Kushners own Oscar Health, the company that has now been given t…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765209366528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Karenko2003",12965,TRUE,FALSE,NA,NA
"8","@realDonaldTrump should get banks to all agree to slap 2 months PITI on back of loan.  Give banks a tax cut to offs… https://t.co/zWxZfqRNfK",FALSE,1,"realDonaldTrump",2020-03-18 23:59:59,TRUE,NA,"1240427765192708096","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","morse22580",0,FALSE,FALSE,NA,NA
"9","RT @GregMolidor: BREAKING NEWS 

A Kentucky man who tested positive for the novel coronavirus, initially refused orders to self-quarantine,…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765100359680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zoomarang",3442,TRUE,FALSE,NA,NA
"10","RT @TokyoSage: Only solution to the coronavirus https://t.co/ofiZ3YrDoQ",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765096017922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daisyvaex",113208,TRUE,FALSE,NA,NA
"11","RT @CNN: Two new polls show Republicans — who primarily turn to Fox News and other right-wing sources for information on current events — a…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427765012336640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lookinup2Luv",573,TRUE,FALSE,NA,NA
"12","RT @addysbaird: BREAKING: The first member of Congress, Rep. Mario Diaz-Balart, has tested postitive for coronavirus. Our story here: https…",FALSE,0,NA,2020-03-18 23:59:59,FALSE,NA,"1240427764970401801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BerlinDelia",383,TRUE,FALSE,NA,NA
